query,metric,timestamp_utc,timestamp_unix,value,zone,path,namespace,pod_namespace,pod,pod_name,container,device,mode,cpu,labels_json
kepler_node,kepler_node_cpu_idle_watts,2026-07-13T15:15:58.456000Z,1783955758.456,0.03310416333548576,core,aggregated-core,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_idle_watts"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-core"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""core""}"
kepler_node,kepler_node_cpu_idle_watts,2026-07-13T15:15:38.456000Z,1783955738.456,100.63747612154008,package,aggregated-package,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_idle_watts"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-package"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""package""}"
kepler_node,kepler_node_cpu_idle_watts,2026-07-13T15:15:48.456000Z,1783955748.456,99.64971797955168,package,aggregated-package,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_idle_watts"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-package"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""package""}"
kepler_node,kepler_node_cpu_idle_watts,2026-07-13T15:15:58.456000Z,1783955758.456,100.91670248643986,package,aggregated-package,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_idle_watts"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-package"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""package""}"
kepler_node,kepler_node_cpu_joules_total,2026-07-13T15:15:38.456000Z,1783955738.456,10300.308493,core,aggregated-core,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_joules_total"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-core"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""core""}"
kepler_node,kepler_node_cpu_joules_total,2026-07-13T15:15:48.456000Z,1783955748.456,10300.755323,core,aggregated-core,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_joules_total"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-core"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""core""}"
kepler_node,kepler_node_cpu_joules_total,2026-07-13T15:15:58.456000Z,1783955758.456,10301.233387,core,aggregated-core,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_joules_total"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-core"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""core""}"
kepler_node,kepler_node_cpu_joules_total,2026-07-13T15:15:38.456000Z,1783955738.456,80764.182543,package,aggregated-package,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_joules_total"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-package"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""package""}"
kepler_node,kepler_node_cpu_joules_total,2026-07-13T15:15:48.456000Z,1783955748.456,81886.892046,package,aggregated-package,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_joules_total"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-package"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""package""}"
kepler_node,kepler_node_cpu_joules_total,2026-07-13T15:15:58.456000Z,1783955758.456,82913.679415,package,aggregated-package,kepler,,kepler-5k5h5,,kepler,,,,"{""__name__"": ""kepler_node_cpu_joules_total"", ""container"": ""kepler"", ""endpoint"": ""http"", ""instance"": ""10.100.2.41:28282"", ""job"": ""kepler"", ""namespace"": ""kepler"", ""node_name"": ""sebas-green-baremetal-jpmdwiscskyy-node-0"", ""path"": ""aggregated-package"", ""pod"": ""kepler-5k5h5"", ""service"": ""kepler"", ""zone"": ""package""}"
